partie, part
histoire, history
chercher, search
police, police
aide, help
genre, kind
mois, month
frère, brother
laisser, let
car, because
mettre, to put
aucun, no
laisse, leash
eux, them
ville, city
parlé, speak
arrivé, come
bébé, baby
longtemps, long time
heures, hours
pendant, while
revoir, meet again
aucune, any
place, square
parle, speak
compris, understood
savais, knew
étaient, were
attention, Warning
voici, here is
pourrais, could
donner, give
type, type
leurs, their
donné, given
endroit, place
yeux, eyes
écoute, listen
dont, whose
trouve, find
premier, first
perdu, lost
main, hand
première, first
côté, side
vieux, old
sois, be
tellement, so much
enfant, child
point, point
venu, came
suite, after
pardon, sorry
venez, come
devant, in front of
vers, towards
minutes, minutes
chambre, bedroom
mis, placed
belle, beautiful
droit, law
aimerais, would like to
aujourd'hui, today
mari, husband
cause, cause
enfin, finally
espère, hope
attendez, Wait
parti, left
nouvelle, new
boulot, job
arrêter, Stop
dirait, would say
terre, Earth
compte, account
donne, given
loin, far
fin, end
croire, believe
gros, large
plutôt, rather
aura, will have
filles, girls
jouer, to play
bureau, office
