partie, part
histoire, history
chercher, search
seulement, only
police, police
pensais, thought
aide, help
demande, request
genre, kind
mois, month
frere, brother
laisser, let
car, because
mettre, to put
aucun, no
laisse, leash
eux, them
ville, city
chaque, each
parle, speak
arrive, come
devrait, should
bebe, baby
longtemps, long time
heures, hours
vont, will
pendant, while
revoir, meet again
aucune, any
place, square
parle, speak
compris, understood
savais, knew
etaient, were
attention, Warning
pourrais, could
affaire, case
donner, give
type, type
leurs, their
donne, given
train, train
corps, body
yeux, eyes
ecoute, listen
dont, whose
trouve, find
premier, first
perdu, lost
main, hand
premiere, first
cete, side
pouvoir, power
vieux, old
sois, be
tiens, here
matin, morning
tellement, so much
enfant, child
point, point
venu, came
suite, after
pardon, sorry
venez, come
devant, in front of
vers, towards
minutes, minutes
demande, request
chambre, bedroom
mis, placed
belle, beautiful
droit, law
aimerais, would like to
aujourd'hui, today
mari, husband
cause, cause
enfin, finally
espere, hope
eau, water
attendez, Wait
parti, left
nouvelle, new
boulot, job
arreter, Stop
dirait, would say
terre, Earth
compte, account
loin, far
fin, end
croire, believe
gros, large
plutet, rather
aura, will have
filles, girls
jouer, to play
bureau, office
amour, love
chanson, song
rêver, to dream
livre, book
chaise, chair
rue, street
porte, door
fleur, flower
château, castle
cheval, horse
montagne, mountain
ciel, sky
forêt, forest
pluie, rain
neige, snow
soleil, sun
étoile, star
mer, sea
île, island
oiseau, bird
poisson, fish
vent, wind
feu, fire
glace, ice
pain, bread
fromage, cheese
clé, key
vérité, truth
secret, secret
argent, money
voyage, trip
chemin, path
amitié, friendship
joie, joy
peur, fear
sourire, smile
rire, laughter
ombre, shadow
voix, voice
baiser, kiss
chaleur, heat
lumière, light
pays, country
langue, language
musique, music
costume, suit
robe, dress
hiver, winter
été, summer
abeille, bee
bouteille, bottle
cerise, cherry
danse, dance
école, school
fenêtre, window
gâteau, cake
héros, hero
invitation, invitation
jeux, games
kilomètre, kilometer
lune, moon
montre, watch
navire, ship
objet, object
papillon, butterfly
question, question
roi, king
statue, statue
téléphone, phone
uniforme, uniform
valise, suitcase
wagon, wagon
xylophone, xylophone
yeux, eyes
zèbre, zebra
